country_iso3,freq,measure,unit_measure,territorial_level,unit_mult,decimals,year,value,obs_status,region_code,region_label
EE001F,A,EMPW,PS,FUA,0,0,2015,313490,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2015,91496,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2016,63.3,A,EE001F,NA
EE001F,A,GDP,USD_PPP_PS,FUA,0,0,2016,51687,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2016,29783,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2016,316568,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2016,94079,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2017,63.3,A,EE001F,NA
EE001F,A,GDP,USD_PPP_PS,FUA,0,0,2017,54098,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2017,31513,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2017,331861,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2017,94957,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2018,62.2,A,EE001F,NA
EE001F,A,GDP,USD_PPP_PS,FUA,0,0,2018,54541,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2018,32158,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2018,335505,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2018,95850,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2019,61.4,A,EE001F,NA
EE001F,A,GDP,USD_PPP_PS,FUA,0,0,2019,55226,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2019,33028,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2019,343618,A,EE001F,NA
EE001F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2019,96120,A,EE001F,NA
EE001F,A,GDP,PT_NAT,FUA,0,1,2020,62.2,A,EE001F,NA
EE001F,A,GDP,USD_PPP_PS,FUA,0,0,2020,54738,A,EE001F,NA
EE001F,A,GDP,USD_PPP,FUA,6,0,2020,33118,A,EE001F,NA
EE001F,A,EMPW,PS,FUA,0,0,2020,337997,A,EE001F,NA
