city,year,indicator,value,value_interp
Barcelona,2018,kpi_ht_employment_share,NA,NA
Barcelona,2019,kpi_ht_employment_share,NA,NA
Barcelona,2020,kpi_ht_employment_share,NA,NA
Barcelona,2021,kpi_ht_employment_share,NA,NA
Barcelona,2000,kpi_ht_patents_per_100kemp,0.5364114194915669,0.5364114194915669
Barcelona,2001,kpi_ht_patents_per_100kemp,0.3679399720599319,0.3679399720599319
Barcelona,2002,kpi_ht_patents_per_100kemp,0.28800245467862673,0.28800245467862673
Barcelona,2003,kpi_ht_patents_per_100kemp,0.31313611315860085,0.31313611315860085
Barcelona,2004,kpi_ht_patents_per_100kemp,0.31385190692610204,0.31385190692610204
Barcelona,2005,kpi_ht_patents_per_100kemp,0.23449659144406493,0.23449659144406493
Barcelona,2006,kpi_ht_patents_per_100kemp,0.26781407396485785,0.26781407396485785
Barcelona,2007,kpi_ht_patents_per_100kemp,0.37209656429252885,0.37209656429252885
Barcelona,2008,kpi_ht_patents_per_100kemp,0.3101641048840331,0.3101641048840331
Barcelona,2009,kpi_ht_patents_per_100kemp,0.2533050740608476,0.2533050740608476
Barcelona,2010,kpi_ht_patents_per_100kemp,0.31833280542771963,0.31833280542771963
Barcelona,2011,kpi_ht_patents_per_100kemp,0.48648151964497066,0.48648151964497066
Barcelona,2012,kpi_ht_patents_per_100kemp,0.39776132781513257,0.39776132781513257
Barcelona,2013,kpi_ht_patents_per_100kemp,NA,NA
Barcelona,2014,kpi_ht_patents_per_100kemp,NA,NA
Barcelona,2015,kpi_ht_patents_per_100kemp,NA,NA
Barcelona,2016,kpi_ht_patents_per_100kemp,NA,NA
Barcelona,2017,kpi_ht_patents_per_100kemp,NA,NA
Barcelona,2018,kpi_ht_patents_per_100kemp,NA,NA
Barcelona,2019,kpi_ht_patents_per_100kemp,NA,NA
Barcelona,2020,kpi_ht_patents_per_100kemp,NA,NA
Barcelona,2021,kpi_ht_patents_per_100kemp,NA,NA
Barcelona,2000,kpi_rnd_intensity,NA,NA
Barcelona,2001,kpi_rnd_intensity,NA,NA
Barcelona,2002,kpi_rnd_intensity,NA,NA
Barcelona,2003,kpi_rnd_intensity,NA,NA
Barcelona,2004,kpi_rnd_intensity,NA,NA
Barcelona,2005,kpi_rnd_intensity,NA,NA
Barcelona,2006,kpi_rnd_intensity,NA,NA
Barcelona,2007,kpi_rnd_intensity,NA,NA
Barcelona,2008,kpi_rnd_intensity,NA,NA
Barcelona,2009,kpi_rnd_intensity,NA,NA
Barcelona,2010,kpi_rnd_intensity,NA,NA
Barcelona,2011,kpi_rnd_intensity,NA,NA
Barcelona,2012,kpi_rnd_intensity,NA,NA
Barcelona,2013,kpi_rnd_intensity,NA,NA
Barcelona,2014,kpi_rnd_intensity,NA,NA
Barcelona,2015,kpi_rnd_intensity,NA,NA
Barcelona,2016,kpi_rnd_intensity,NA,NA
Barcelona,2017,kpi_rnd_intensity,NA,NA
Barcelona,2018,kpi_rnd_intensity,NA,NA
Barcelona,2019,kpi_rnd_intensity,NA,NA
