country_iso3,measure,sex_own,entr_size,transaction_type,unit_measure,prices,unit_mult,country,year,value,obs_status,decimals,region_code
ESP,INTEREST_RATE,_Z,SME,_Z,PA,_Z,0,ESP,2010,3.78,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,GR,_Z,0,ESP,2010,-6.184181044,A,2,NA
ESP,VC,_Z,T,_Z,GR,_Z,0,ESP,2010,0.111234705,A,2,NA
ESP,INTEREST_RATE_SPREAD,_Z,SME,_Z,PD,_Z,0,ESP,2010,1.21,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,ENT,_Z,0,ESP,2010,4187,A,0,NA
ESP,PAYMENT_DELAYS,_Z,T,_Z,D,_Z,0,ESP,2010,12,A,0,NA
ESP,LOAN,_Z,T,NEW,EUR,V,9,ESP,2010,665,A,1,NA
ESP,LOAN,_Z,T,OUTSTANDING,EUR,V,9,ESP,2010,895.894,A,1,NA
ESP,LOAN,_Z,SME,NEW,EUR,V,9,ESP,2010,210,A,1,NA
ESP,VC,_Z,T,_Z,EUR,V,9,ESP,2010,3600,A,1,NA
ESP,LOAN_ST,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2010,196,A,1,NA
ESP,LOAN_LT,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2010,14,A,1,NA
ESP,LOAN_GOV_GUARANTEED,_Z,SME,_Z,EUR,V,6,ESP,2010,7236,A,1,NA
ESP,LOAN_GOV_DIRECT,_Z,SME,_Z,EUR,V,6,ESP,2010,23740,A,1,NA
ESP,LOAN_GOV_GUARANTEES,_Z,SME,_Z,EUR,V,6,ESP,2010,10100,A,1,NA
ESP,LOAN,_Z,SME,NEW,PT_ENT,_Z,0,ESP,2011,33.0170778,A,2,NA
ESP,NPL,_Z,T,OUTSTANDING,PT_ENT,_Z,0,ESP,2011,7.84,A,2,NA
ESP,LOAN_ST,_Z,T,OUTSTANDING,PT_ENT,_Z,0,ESP,2011,95.40229885,A,2,NA
ESP,LOAN_APPLICATIONS,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2011,34.67,A,2,NA
ESP,LOAN_COLLATERAL,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2011,34.36,A,2,NA
ESP,LOAN_REJECTION,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2011,12.83,A,2,NA
ESP,INTEREST_RATE,_Z,LRG,_Z,PA,_Z,0,ESP,2011,3.36,A,2,NA
ESP,INTEREST_RATE,_Z,SME,_Z,PA,_Z,0,ESP,2011,4.95,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,GR,_Z,0,ESP,2011,17.31550036,A,2,NA
ESP,VC,_Z,T,_Z,GR,_Z,0,ESP,2011,-25.69444444,A,2,NA
ESP,INTEREST_RATE_SPREAD,_Z,SME,_Z,PD,_Z,0,ESP,2011,1.59,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,ENT,_Z,0,ESP,2011,4912,A,0,NA
ESP,PAYMENT_DELAYS,_Z,T,_Z,D,_Z,0,ESP,2011,6,A,0,NA
ESP,LOAN,_Z,T,NEW,EUR,V,9,ESP,2011,527,A,1,NA
ESP,LOAN,_Z,T,OUTSTANDING,EUR,V,9,ESP,2011,840.402,A,1,NA
ESP,LOAN,_Z,SME,NEW,EUR,V,9,ESP,2011,174,A,1,NA
ESP,VC,_Z,T,_Z,EUR,V,9,ESP,2011,2675,A,1,NA
ESP,LOAN_ST,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2011,166,A,1,NA
ESP,LOAN_LT,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2011,8,A,1,NA
ESP,LOAN_GOV_GUARANTEED,_Z,SME,_Z,EUR,V,6,ESP,2011,7502,A,1,NA
ESP,LOAN_GOV_DIRECT,_Z,SME,_Z,EUR,V,6,ESP,2011,26221,A,1,NA
ESP,LOAN_GOV_GUARANTEES,_Z,SME,_Z,EUR,V,6,ESP,2011,12000,A,1,NA
ESP,LOAN,_Z,SME,NEW,PT_ENT,_Z,0,ESP,2012,30.10309278,A,2,NA
ESP,NPL,_Z,T,OUTSTANDING,PT_ENT,_Z,0,ESP,2012,10.43,A,2,NA
ESP,LOAN_ST,_Z,T,OUTSTANDING,PT_ENT,_Z,0,ESP,2012,95.20547945,A,2,NA
ESP,LOAN_APPLICATIONS,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2012,31.89,A,2,NA
ESP,LOAN_COLLATERAL,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2012,31.45,A,2,NA
ESP,LOAN_REJECTION,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2012,18.47,A,2,NA
ESP,INTEREST_RATE,_Z,LRG,_Z,PA,_Z,0,ESP,2012,2.61,A,2,NA
ESP,INTEREST_RATE,_Z,SME,_Z,PA,_Z,0,ESP,2012,4.91,A,2,NA
